year,lat,lon,fleet,fishing_hours
2019,-55,-80,ESP,0
2019,-55,-75,ESP,0
2019,-55,-70,ESP,0
2019,-50,-85,ESP,0
2019,-50,-80,ESP,0
2019,-50,-70,ESP,12.4508
2019,-50,-65,CHN,6295.4667
2019,-50,-65,ESP,23.5864
2019,-50,-60,CHN,71.2611
2019,-50,-60,ESP,0
2019,-50,-55,ESP,0
2019,-50,-50,ESP,0
2019,-50,-45,ESP,0
2019,-50,-40,ESP,0
2019,-50,-35,ESP,0
2019,-50,-30,ESP,0
2019,-50,-25,ESP,0
2019,-50,-10,JPN,0.0686
2019,-50,-10,KOR,5.4525
2019,-50,0,JPN,35.3062
2019,-50,10,JPN,17.9149
2019,-50,15,JPN,45.6524
2019,-50,80,TWN,34.441
2019,-50,85,TWN,147.221
2019,-50,90,TWN,0
2019,-50,170,NZL,84.4023
2019,-45,-175,ESP,9.9003
2019,-45,-155,VUT,0
2019,-45,-150,VUT,8.4376
2019,-45,-85,ESP,0
2019,-45,-80,ESP,0
2019,-45,-65,CHN,0.3021
2019,-45,-65,ESP,0
2019,-45,-60,CHN,282.9161
2019,-45,-60,ESP,0
2019,-45,-55,CHN,0
2019,-45,-55,PRT,157.4563
2019,-45,-55,TWN,17.4591
2019,-45,-50,ESP,14.6524
2019,-45,-50,PRT,428.6926
2019,-45,-50,TWN,96.8117
2019,-45,-15,ESP,0
2019,-45,-15,JPN,14.6255
2019,-45,-10,ESP,4.9598
2019,-45,-10,JPN,1188.0593
2019,-45,-10,KOR,3385.222
2019,-45,-5,ESP,0.2479
2019,-45,-5,JPN,5069.1034
2019,-45,-5,KOR,3151.9431
2019,-45,0,ESP,0
2019,-45,0,JPN,5279.1064
2019,-45,0,KOR,1163.2568
2019,-45,5,ESP,0
2019,-45,5,JPN,3200.9383
2019,-45,5,KOR,1350.8849
2019,-45,10,JPN,215.801
2019,-45,10,KOR,0
2019,-45,15,ESP,0.9801
2019,-45,15,JPN,71.1649
2019,-45,20,JPN,1539.1097
2019,-45,20,KOR,0
2019,-45,20,SYC,50.3732
2019,-45,20,TWN,208.6412
2019,-45,25,JPN,3046.9084
2019,-45,25,KOR,485.0098
2019,-45,25,SYC,0.3671
2019,-45,25,TWN,13.8785
2019,-45,30,JPN,624.7366
2019,-45,30,KOR,24.559
2019,-45,30,SYC,27.8452
2019,-45,30,TWN,12.4913
2019,-45,35,JPN,0
2019,-45,40,JPN,850.7265
2019,-45,40,TWN,102.5081
2019,-45,45,JPN,1619.716
2019,-45,45,MYS,449.5293
2019,-45,45,TWN,981.2385
2019,-45,50,JPN,62.9894
2019,-45,50,MYS,72.4055
2019,-45,50,TWN,145.442
2019,-45,55,JPN,0
2019,-45,55,MYS,103.9895
2019,-45,55,SYC,69.1482
2019,-45,55,TWN,1598.7831
2019,-45,60,CHN,5.8272
2019,-45,60,JPN,0
2019,-45,60,SYC,12.9079
2019,-45,60,TWN,1220.3297
2019,-45,65,CHN,63.215
2019,-45,65,JPN,0
2019,-45,65,SYC,158.8022
2019,-45,65,TWN,1940.5914
2019,-45,70,CHN,543.8899
2019,-45,70,JPN,0
2019,-45,70,SYC,230.2449
2019,-45,70,TWN,1186.8362
2019,-45,75,JPN,0
2019,-45,80,JPN,0
2019,-45,80,TWN,18.0782
2019,-45,85,JPN,0
2019,-45,85,TWN,62.068
2019,-45,90,TWN,65.3945
2019,-45,95,JPN,4.1053
2019,-45,95,TWN,16.3098
2019,-45,100,JPN,710.1012
2019,-45,130,AUS,48.8828
2019,-45,135,AUS,0.2746
2019,-45,140,AUS,1.6221
2019,-45,145,AUS,0
2019,-45,145,JPN,0
2019,-45,150,AUS,19.4719
2019,-45,150,JPN,5236.0537
2019,-45,155,AUS,39.5666
2019,-45,155,JPN,7224.5826
2019,-45,160,AUS,8.7175
2019,-45,160,JPN,0
