"lat","lon","year","hooks","fleet","res","reslat","reslon","pixels","hooks2"
35,10,2019,1600,"011IT00","5*5",1,1,1,1600
35,10,2019,9000,"011IT00","5*5",1,1,1,9000
35,10,2019,9600,"011IT00","5*5",1,1,1,9600
35,10,2019,800,"011IT00","5*5",1,1,1,800
35,10,2019,1000,"011IT00","5*5",1,1,1,1000
35,10,2019,6500,"011IT00","5*5",1,1,1,6500
35,10,2019,5000,"011IT00","5*5",1,1,1,5000
40,10,2019,8100,"011IT00","5*5",1,1,1,8100
40,5,2019,6600,"011IT00","5*5",1,1,1,6600
35,10,2019,2000,"011IT00","5*5",1,1,1,2000
35,10,2019,8200,"011IT00","5*5",1,1,1,8200
40,10,2019,5400,"011IT00","5*5",1,1,1,5400
40,5,2019,1900,"011IT00","5*5",1,1,1,1900
40,5,2019,600,"011IT00","5*5",1,1,1,600
40,5,2019,2400,"011IT00","5*5",1,1,1,2400
40,10,2019,1800,"011IT00","5*5",1,1,1,1800
40,5,2019,6650,"011IT00","5*5",1,1,1,6650
40,5,2019,600,"011IT00","5*5",1,1,1,600
40,5,2019,4100,"011IT00","5*5",1,1,1,4100
40,10,2019,2700,"011IT00","5*5",1,1,1,2700
40,10,2019,900,"011IT00","5*5",1,1,1,900
40,5,2019,6650,"011IT00","5*5",1,1,1,6650
40,5,2019,1200,"011IT00","5*5",1,1,1,1200
40,5,2019,1900,"011IT00","5*5",1,1,1,1900
40,10,2019,1200,"011IT00","5*5",1,1,1,1200
40,10,2019,3000,"011IT00","5*5",1,1,1,3000
40,10,2019,600,"011IT00","5*5",1,1,1,600
40,10,2019,600,"011IT00","5*5",1,1,1,600
40,10,2019,700,"011IT00","5*5",1,1,1,700
40,10,2019,1200,"011IT00","5*5",1,1,1,1200
40,10,2019,3000,"011IT00","5*5",1,1,1,3000
45,10,2019,600,"011IT00","5*5",1,1,1,600
40,10,2019,600,"011IT00","5*5",1,1,1,600
40,15,2019,22000,"011IT00","5*5",1,1,1,22000
40,10,2019,1200,"011IT00","5*5",1,1,1,1200
35,15,2019,7500,"011IT00","5*5",1,1,1,7500
35,15,2019,4800,"011IT00","5*5",1,1,1,4800
35,15,2019,3000,"011IT00","5*5",1,1,1,3000
35,15,2019,3900,"011IT00","5*5",1,1,1,3900
35,15,2019,10800,"011IT00","5*5",1,1,1,10800
35,15,2019,6600,"011IT00","5*5",1,1,1,6600
40,10,2019,320,"011IT00","5*5",1,1,1,320
40,10,2019,650,"011IT00","5*5",1,1,1,650
40,15,2019,21000,"011IT00","5*5",1,1,1,21000
35,15,2019,3000,"011IT00","5*5",1,1,1,3000
35,15,2019,6600,"011IT00","5*5",1,1,1,6600
35,15,2019,1800,"011IT00","5*5",1,1,1,1800
40,10,2019,1000,"011IT00","5*5",1,1,1,1000
40,15,2019,17500,"011IT00","5*5",1,1,1,17500
40,15,2019,38500,"011IT00","5*5",1,1,1,38500
40,10,2019,600,"011IT00","5*5",1,1,1,600
40,10,2019,1200,"011IT00","5*5",1,1,1,1200
35,5,2019,3000,"011IT00","5*5",1,1,1,3000
35,5,2019,7500,"011IT00","5*5",1,1,1,7500
35,15,2019,4100,"011IT00","5*5",1,1,1,4100
35,15,2019,1500,"011IT00","5*5",1,1,1,1500
40,10,2019,650,"011IT00","5*5",1,1,1,650
40,15,2019,25000,"011IT00","5*5",1,1,1,25000
40,15,2019,37500,"011IT00","5*5",1,1,1,37500
40,10,2019,1000,"011IT00","5*5",1,1,1,1000
40,5,2019,750,"011IT00","5*5",1,1,1,750
40,10,2019,1800,"011IT00","5*5",1,1,1,1800
40,10,2019,600,"011IT00","5*5",1,1,1,600
35,15,2019,600,"011IT00","5*5",1,1,1,600
35,15,2019,9000,"011IT00","5*5",1,1,1,9000
40,10,2019,350,"011IT00","5*5",1,1,1,350
40,15,2019,9800,"011IT00","5*5",1,1,1,9800
40,15,2019,9000,"011IT00","5*5",1,1,1,9000
40,10,2019,2400,"011IT00","5*5",1,1,1,2400
40,15,2019,9500,"011IT00","5*5",1,1,1,9500
40,15,2019,3000,"011IT00","5*5",1,1,1,3000
40,10,2019,600,"011IT00","5*5",1,1,1,600
40,10,2019,600,"011IT00","5*5",1,1,1,600
40,10,2019,600,"011IT00","5*5",1,1,1,600
40,10,2019,1200,"011IT00","5*5",1,1,1,1200
40,10,2019,600,"011IT00","5*5",1,1,1,600
30,-20,2019,300,"019PT03","5*5",1,1,1,300
30,-20,2019,500,"019PT03","5*5",1,1,1,500
30,-20,2019,7100,"019PT03","5*5",1,1,1,7100
30,-20,2019,1300,"019PT03","5*5",1,1,1,1300
30,-20,2019,1000,"019PT03","5*5",1,1,1,1000
30,-20,2019,360,"019PT03","5*5",1,1,1,360
30,-20,2019,2100,"019PT03","5*5",1,1,1,2100
30,-20,2019,1050,"019PT03","5*5",1,1,1,1050
30,-20,2019,5320,"019PT03","5*5",1,1,1,5320
30,-20,2019,3250,"019PT03","5*5",1,1,1,3250
30,-20,2019,15000,"019PT03","5*5",1,1,1,15000
30,-20,2019,158006,"019PT03","5*5",1,1,1,158006
30,-20,2019,136720,"019PT03","5*5",1,1,1,136720
30,-20,2019,61270,"019PT03","5*5",1,1,1,61270
30,-20,2019,39250,"019PT03","5*5",1,1,1,39250
30,-20,2019,600,"019PT03","5*5",1,1,1,600
30,-20,2019,1500,"019PT03","5*5",1,1,1,1500
30,-20,2019,40600,"019PT03","5*5",1,1,1,40600
30,-20,2019,13600,"019PT03","5*5",1,1,1,13600
30,-20,2019,25280,"019PT03","5*5",1,1,1,25280
30,-20,2019,99680,"019PT03","5*5",1,1,1,99680
30,-20,2019,1000,"019PT03","5*5",1,1,1,1000
-35,15,2019,3606,"020ZA00","5*5",1,1,1,3606
