Calendar Year,Fishery,LATITUDE (5° cell),LONGITUDE (5° cell),Species Category,Species (or group),Number of vessels with observer data ,Observed Captures (number),Observed Capture Rate (per 1000 hooks),Observed Mortalities (number),Observed Mortality rate (per 1000 hooks),Observed Live Releases
2013,L,-32.5,172.5,BRD,ALBATROSSES NEI,5,1,0.016393980,1,0.016393980,0
2013,L,-27.5,-167.5,BRD,ALBATROSSES NEI,3,1,0.012211503,1,0.012211503,0
2013,L,-7.5,-172.5,BRD,ALBATROSSES NEI,6,1,0.007624159,1,0.007624159,0
2013,L,-7.5,157.5,BRD,ALBATROSSES NEI,12,1,0.004224472,1,0.004224472,0
2013,L,-7.5,162.5,BRD,ALBATROSSES NEI,12,3,0.007438299,3,0.007438299,0
2013,L,-2.5,-152.5,BRD,ALBATROSSES NEI,7,1,0.005947885,1,0.005947885,0
2014,L,-42.5,167.5,BRD,ALBATROSSES NEI,6,6,0.015155036,6,0.015155036,0
2014,L,-22.5,177.5,BRD,ALBATROSSES NEI,18,2,0.003869415,2,0.003869415,0
2014,L,-7.5,-162.5,BRD,ALBATROSSES NEI,11,1,0.003664265,1,0.003664265,0
2014,L,27.5,-167.5,BRD,ALBATROSSES NEI,15,11,0.129535204,9,0.105983349,2
2014,L,27.5,-157.5,BRD,ALBATROSSES NEI,45,2,0.002294999,1,0.001147500,1
2014,L,32.5,-162.5,BRD,ALBATROSSES NEI,17,1,0.003563970,1,0.003563970,0
2014,L,32.5,-157.5,BRD,ALBATROSSES NEI,23,1,0.003414519,1,0.003414519,0
2015,L,-42.5,152.5,BRD,ALBATROSSES NEI,7,38,0.062086532,32,0.052283396,4
2015,L,-42.5,157.5,BRD,ALBATROSSES NEI,6,6,0.065588107,6,0.065588107,0
2015,L,-37.5,162.5,BRD,ALBATROSSES NEI,6,1,0.015395274,0,0.000000000,0
2015,L,37.5,147.5,BRD,ALBATROSSES NEI,5,1,0.012256254,1,0.012256254,0
2015,L,37.5,152.5,BRD,ALBATROSSES NEI,13,6,0.056135624,6,0.056135624,0
2015,L,37.5,157.5,BRD,ALBATROSSES NEI,13,2,0.008883125,2,0.008883125,0
2015,L,37.5,162.5,BRD,ALBATROSSES NEI,13,13,0.065506364,13,0.065506364,0
2015,L,42.5,152.5,BRD,ALBATROSSES NEI,3,26,0.265745416,25,0.255524438,1
2016,L,-42.5,152.5,BRD,ALBATROSSES NEI,6,369,0.637713219,364,0.629072119,5
2016,L,-42.5,157.5,BRD,ALBATROSSES NEI,6,51,0.264399399,51,0.264399399,0
2016,L,-37.5,157.5,BRD,ALBATROSSES NEI,4,55,0.539363747,55,0.539363747,0
2016,L,-32.5,172.5,BRD,ALBATROSSES NEI,3,11,0.241069472,11,0.241069472,0
2016,L,-12.5,177.5,BRD,ALBATROSSES NEI,29,1,0.000936246,0,0.000000000,1
2016,L,32.5,152.5,BRD,ALBATROSSES NEI,6,3,0.040079089,3,0.040079089,0
2016,L,37.5,147.5,BRD,ALBATROSSES NEI,9,5,0.071258569,5,0.071258569,0
2016,L,37.5,152.5,BRD,ALBATROSSES NEI,9,6,0.027149813,6,0.027149813,0
2016,L,37.5,162.5,BRD,ALBATROSSES NEI,7,4,0.032342573,4,0.032342573,0
2016,L,37.5,167.5,BRD,ALBATROSSES NEI,6,7,0.038581310,7,0.038581310,0
2016,L,37.5,172.5,BRD,ALBATROSSES NEI,3,10,0.132982260,5,0.066491130,5
2017,L,-42.5,152.5,BRD,ALBATROSSES NEI,3,1,0.003586942,1,0.003586942,0
2017,L,-17.5,177.5,BRD,ALBATROSSES NEI,37,2,0.001160400,0,0.000000000,2
2017,L,27.5,147.5,BRD,ALBATROSSES NEI,10,15,0.138005907,15,0.138005907,0
2017,L,27.5,152.5,BRD,ALBATROSSES NEI,10,1,0.005825876,1,0.005825876,0
2017,L,27.5,157.5,BRD,ALBATROSSES NEI,6,2,0.031480199,2,0.031480199,0
2017,L,32.5,147.5,BRD,ALBATROSSES NEI,11,14,0.190831891,14,0.190831891,0
2017,L,32.5,152.5,BRD,ALBATROSSES NEI,9,38,0.411709896,38,0.411709896,0
2017,L,32.5,157.5,BRD,ALBATROSSES NEI,8,47,0.533508899,47,0.533508899,0
2017,L,37.5,147.5,BRD,ALBATROSSES NEI,7,1,0.010820169,1,0.010820169,0
2017,L,37.5,152.5,BRD,ALBATROSSES NEI,8,2,0.013093890,2,0.013093890,0
2017,L,37.5,157.5,BRD,ALBATROSSES NEI,5,3,0.037019670,3,0.037019670,0
2018,L,-37.5,-162.5,BRD,ALBATROSSES NEI,3,1,0.013060457,1,0.013060457,0
2018,L,32.5,152.5,BRD,ALBATROSSES NEI,9,1,0.011962295,1,0.011962295,0
2018,L,37.5,167.5,BRD,ALBATROSSES NEI,6,1,0.017055824,1,0.017055824,0
2018,L,42.5,167.5,BRD,ALBATROSSES NEI,3,3,0.042659083,3,0.042659083,0
2019,L,-42.5,152.5,BRD,ALBATROSSES NEI,6,2,0.003447260,2,0.003447260,0
2019,L,-37.5,-172.5,BRD,ALBATROSSES NEI,3,9,0.173030338,8,0.153804745,1
2019,L,-37.5,-167.5,BRD,ALBATROSSES NEI,3,1,0.047762335,1,0.047762335,0
2019,L,-32.5,-172.5,BRD,ALBATROSSES NEI,4,8,0.130401474,8,0.130401474,0
2019,L,-32.5,-167.5,BRD,ALBATROSSES NEI,3,2,0.087535014,2,0.087535014,0
2019,L,-27.5,-172.5,BRD,ALBATROSSES NEI,8,1,0.002587838,1,0.002587838,0
2019,L,-27.5,-162.5,BRD,ALBATROSSES NEI,3,2,0.071921749,2,0.071921749,0
2019,L,-27.5,172.5,BRD,ALBATROSSES NEI,11,1,0.002923002,1,0.002923002,0
2019,L,-27.5,177.5,BRD,ALBATROSSES NEI,11,1,0.003193032,1,0.003193032,0
2019,L,32.5,147.5,BRD,ALBATROSSES NEI,13,8,0.039038292,7,0.034158505,1
2019,L,32.5,157.5,BRD,ALBATROSSES NEI,9,1,0.020819887,1,0.020819887,0
2019,L,32.5,162.5,BRD,ALBATROSSES NEI,7,23,0.178495208,23,0.178495208,0
2019,L,37.5,147.5,BRD,ALBATROSSES NEI,9,1,0.021822149,1,0.021822149,0
2019,L,37.5,152.5,BRD,ALBATROSSES NEI,23,8,0.014541885,7,0.012724150,1
2019,L,37.5,157.5,BRD,ALBATROSSES NEI,17,3,0.007501782,2,0.005001188,1
