Species,binomial,Hook_mortality_gilman,Hook_mortality_hutch,prm.mean,prm.lwr,prm.upr
bigeyethresher,Alopias superciliosus,0.3415,0.221,0.225,0.081,0.49
blueshark,Prionace glauca,0.1535,0.057,0.17,0.107,0.259
longfinmako,Isurus paucus,0.4,,0.254,0.137,0.42
shortfinmako,Isurus oxyrinchus,0.0526,0.444,0.254,0.137,0.42
silkyshark,Carcharhinus falciformis,0.2908,0.358,0.164,0.008,0.819
commonthresher,Alopias vulpinus,0.1875,,0.353,0.072,0.793
pelagicthresher,Alopias pelagicus,0.3636,,0.289,0.0765,0.6415
oceanicwhitetip,Carcharhinus longimanus,0.305,0.327,0.163,0.008,0.831
hammerhead,Sphyrna spp.,1,0.56,0.875,0.266,0.993
othersharks,other,0.048,,0.268,0.193,0.36
unidmako,Isurus spp.,0.2263,,0.254,0.137,0.42
otherthresher,Alopias spp.,0.286838462,,0.289,0.0765,0.6415
